year,winter,spring,summer,autumn,annual
1999,2.48,6.03,11.2,7.77,6.86
2000,2.3,5.26,11.27,7.37,6.65
2001,1.47,4.55,11.64,8.22,6.27
2002,2.21,5.37,11.47,7.35,6.9
2003,2.02,5,12.33,6.3,6.25
2004,2.19,5.31,11.84,7.82,6.87
2005,2.5,5.31,11.71,7.95,6.8
2006,1.61,5,12.46,9.11,7.3
2007,3.87,5.9,11.38,7.13,6.92
2008,2.5,5.33,11.75,6.77,6.48
2009,0.86,5.54,11.71,8.21,6.57
2010,-0.07,4.21,11.57,6.48,5.22
2011,0.36,5.81,10.52,8.93,7.03
2012,2.27,4.93,11.45,6.4,6.16
2013,1.35,3.17,11.63,7.54,6.06
2014,3.29,6.1,11.44,8.61,7.29
2015,1.68,4.67,10.82,7.44,6.59
2016,3.86,4.52,12.2,7.27,6.62
2017,2.55,6.17,11.96,7.56,7.01
2018,1.63,5.39,12.06,7.16,6.78
2019,2.7,5.08,11.87,6.75,6.51
2020,3.43,4.91,12.06,7.44,6.93
2021,1.71,3.68,12.15,8.25,6.6
2022,2.99,5.6,12.11,8.64,7.04
2023,1.73,5.41,11.96,8.55,7.3
2024,3.79,6.94,11.15,7.57,7.37
