Conventions,G,BADC-CSV,1
title,G,Central England Temperature (CET) Maximum seasonal temperatures ranked from warmest to coldest
source,G,Met Office Central England Temperature dataset
creator,G,Met Office
activity,G,Met Office Central England Temperature dataset
collection_name,G,Central England Temperature
collection_version_number,G,v2.1.0.0
feature_type,G,point series
history,G,Created 2025-03-12
last_revised_date,G,2025-03-12
date_valid,G,1878-01-01,2024-12-31
coordinate_variable,rank,t
long_name,rank,Rank,s
type,rank,char
comments,G,Data represents the ranking of the CET seasonal mean temperatures by season from warmest year to coldest year
comments,G,The ranking of warmest years on record is also included in the annual columns at the end of the file
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
long_name,winter,Seasonal Central England Temperature values for Winter,degC
type,winter,float
comments,winter,seasonal average temperature series for Winter ranked from warmest to coldest
long_name,winter_year,Winter rank year,1
type,winter_year,char
comments,winter_year,year of ranked Winter seasonal series value
long_name,spring,Seasonal Central England Temperature values for Spring,degC
type,spring,float
comments,spring,seasonal average temperature series for Spring ranked from warmest to coldest
long_name,spring_year,Spring rank year,1
type,spring_year,char
comments,spring_year,year of ranked Spring seasonal series value
long_name,summer,Seasonal Central England Temperature values for Summer,degC
type,summer,float
comments,summer,seasonal average temperature series for Summer ranked from warmest to coldest
long_name,summer_year,Summer rank year,1
type,summer_year,char
comments,summer_year,year of ranked Summer seasonal series value
long_name,autumn,Seasonal Central England Temperature values for Autumn,degC
type,autumn,float
comments,autumn,seasonal average temperature series for Autumn ranked from warmest to coldest
long_name,autumn_year,Autumn rank year,1
type,autumn_year,char
comments,autumn_year,year of ranked Autumn seasonal series value
long_name,annual,Annual Central England Temperature values,degC
type,annual,float
comments,annual,annual average temperature ranked from warmest to coldest
long_name,year,Rank year,1
type,year,char
comments,year,Year of ranked annual series value
long_name,rank_reverse,Reverse rank,1
type,rank_reverse,char
comments,rank_reverse,reverse rank of seasons/years from coldest to warmest
data
rank,winter,winter_year,spring,spring_year,summer,summer_year,autumn,autumn_year,annual,year,rank_reverse
30,8.10,1913,13.51,1998,20.83,1994,14.32,1961,13.88,2009,118
31,8.06,2005,13.49,2004,20.79,2021,14.30,1989,13.88,1938,117
32,8.04,2004,13.44,1912,20.77,2016,14.27,1906,13.87,1998,116
33,8.00,1937,13.44,1896,20.76,1884,14.27,1945,13.86,1976,115
34,7.91,1898,13.43,1944,20.67,2004,14.23,2024,13.84,2000,114
35,7.87,1884,13.43,1882,20.66,2014,14.23,2017,13.83,1943,113
36,7.86,1950,13.40,1960,20.58,2020,14.20,2004,13.82,1994,112
37,7.84,1967,13.38,1921,20.58,1999,14.17,2007,13.82,1934,111
38,7.83,1921,13.33,1989,20.56,2001,14.16,1953,13.78,1975,110
39,7.83,1988,13.22,2008,20.54,1901,14.14,1969,13.74,1948,109
40,7.73,1914,13.17,1995,20.53,2017,14.09,1964,13.73,1914,108
41,7.65,1976,13.16,2010,20.47,1878,14.08,1963,13.73,1961,107
42,7.64,2015,13.14,1914,20.42,1940,14.06,1991,13.72,1957,106
43,7.63,1948,13.13,1993,20.42,2024,14.05,1908,13.72,1933,105
44,7.62,1922,13.10,1982,20.40,1906,14.04,1979,13.68,1983,104
45,7.58,1912,13.09,2005,20.38,1970,14.02,2013,13.65,1899,103
46,7.55,1973,13.07,2015,20.37,1897,14.02,1994,13.64,2008,102
47,7.54,1932,13.06,2000,20.35,2010,14.00,1951,13.64,2001,101
48,7.52,1961,13.03,1929,20.32,1925,13.98,1914,13.64,1884,100
49,7.51,1903,13.02,1946,20.27,1900,13.97,1982,13.64,1898,99
50,7.50,1911,13.01,1953,20.23,1969,13.88,1996,13.56,1984,98
51,7.49,1883,12.97,1949,20.22,2009,13.88,1954,13.55,1953,97
52,7.46,1994,12.96,2016,20.20,1973,13.88,1955,13.52,1982,96
53,7.44,1960,12.84,1956,20.15,1957,13.86,1990,13.48,1992,95
54,7.41,1882,12.82,1894,20.13,1992,13.86,1984,13.47,2012,94
55,7.41,1993,12.79,1895,20.11,1896,13.85,1895,13.41,1971,93
56,7.40,2003,12.78,1950,20.10,1982,13.85,1941,13.36,1960,92
57,7.37,1992,12.77,1988,20.10,1950,13.85,1968,13.34,1935,91
58,7.35,1972,12.68,1927,20.09,1941,13.83,2000,13.33,2013,90
59,7.35,1939,12.68,1920,20.07,2000,13.81,1958,13.33,1947,89
60,7.33,1981,12.68,1918,20.04,1914,13.77,1899,13.32,1913,88
61,7.31,2018,12.67,1942,20.04,1937,13.76,1934,13.32,1973,87
62,7.29,2021,12.66,1991,20.03,1943,13.76,1948,13.28,1988,86
63,7.25,1980,12.63,1884,20.00,1932,13.73,1986,13.24,1906,85
64,7.20,1894,12.56,1939,19.99,2002,13.71,1939,13.24,1991,84
65,7.17,2001,12.55,1890,19.94,2015,13.69,1890,13.24,1928,83
66,7.15,1926,12.53,1965,19.92,1991,13.68,1900,13.23,1970,82
67,7.13,1938,12.50,2021,19.89,1952,13.68,1928,13.22,1944,81
68,7.11,1958,12.49,2001,19.87,1942,13.65,1943,13.22,1918,80
69,7.11,1946,12.49,1981,19.86,1945,13.63,1998,13.21,1939,79
70,7.10,1984,12.49,1881,19.86,1926,13.61,1920,13.20,1955,78
71,7.07,1983,12.48,1974,19.85,1960,13.59,1933,13.16,1900,77
72,7.05,1930,12.48,1947,19.83,1917,13.59,1981,13.14,1964,76
73,7.02,1971,12.47,2006,19.82,1967,13.59,1886,13.14,1926,75
74,7.01,1906,12.43,1928,19.80,1905,13.58,1983,13.09,1974,74
75,6.97,1910,12.43,1878,19.77,1944,13.56,1907,13.08,1937,73
76,6.96,1944,12.43,1994,19.71,1904,13.55,2019,13.06,1993,72
77,6.94,1896,12.42,1964,19.70,1895,13.51,1960,13.04,1967,71
78,6.94,2006,12.39,1980,19.64,1898,13.49,1946,13.02,1882,70
79,6.93,1928,12.38,1909,19.62,1886,13.48,1977,13.02,1920,69
80,6.90,1966,12.36,1907,19.60,1918,13.44,1975,13.01,1946,68
81,6.86,1952,12.36,1911,19.57,1930,13.43,1940,12.97,1929,67
82,6.84,1901,12.35,1913,19.56,1939,13.42,1911,12.96,1940,66
83,6.83,1918,12.35,1901,19.55,1953,13.37,1973,12.95,1996,65
84,6.83,1915,12.33,1926,19.46,1889,13.37,1916,12.92,1896,64
85,6.82,1890,12.30,1973,19.45,1961,13.33,2008,12.91,1901,63
86,6.80,1885,12.28,1976,19.43,1929,13.28,1884,12.91,1980,62
87,6.77,1933,12.27,1963,19.42,1885,13.28,1935,12.91,1950,61
88,6.77,1927,12.26,1915,19.42,2008,13.26,1930,12.91,1897,60
89,6.74,1954,12.26,1880,19.41,1908,13.24,1985,12.88,1958,59
90,6.74,1908,12.24,1910,19.39,1938,13.23,1897,12.87,1966,58
91,6.65,1905,12.22,1954,19.37,1936,13.22,2012,12.86,1969,57
92,6.61,1997,12.21,1968,19.36,1964,13.21,1917,12.85,1932,56
93,6.55,2013,12.20,1935,19.36,1951,13.19,1956,12.84,1912,55
94,6.55,1978,12.16,1936,19.33,1958,13.16,1966,12.82,1936,54
95,6.48,1962,12.16,1905,19.32,2007,13.16,1937,12.82,1908,53
96,6.48,1924,12.15,1972,19.30,2011,13.14,1976,12.82,1978,52
97,6.46,2009,12.14,1978,19.27,1993,13.11,1891,12.81,1977,51
98,6.44,1931,12.12,1919,19.26,1998,13.10,1972,12.80,1951,50
99,6.40,1919,12.08,1971,19.24,2012,13.10,1987,12.80,1930,49
100,6.39,1889,12.07,1934,19.23,1915,13.10,1988,12.79,1878,48
101,6.33,1987,12.04,1987,19.17,1968,13.09,1936,12.76,1916,47
102,6.32,1945,12.02,1977,19.16,1919,13.07,1980,12.74,1942,46
103,6.29,1959,11.93,1937,19.13,1979,13.06,1942,12.74,1915,45
104,6.19,1955,11.92,1903,19.13,1880,13.03,2010,12.73,1968,44
105,6.19,1968,11.91,1966,19.12,1966,13.02,1957,12.73,1883,43
106,6.18,1909,11.89,1967,19.11,1981,13.01,1903,12.72,1952,42
107,6.15,1964,11.87,1889,19.11,1923,13.01,1967,12.72,1925,41
108,6.15,1953,11.84,1984,19.09,1971,13.00,1893,12.72,1981,40
109,6.08,1892,11.83,1892,19.09,1963,12.98,1901,12.72,1894,39
110,6.06,1965,11.75,1985,19.06,1928,12.92,1962,12.71,1972,38
111,6.01,1956,11.70,1906,18.99,1883,12.88,1924,12.67,2010,37
112,5.99,1991,11.65,1925,18.97,1913,12.86,1883,12.66,1954,36
113,5.98,1934,11.65,1970,18.91,1974,12.85,1881,12.64,1941,35
114,5.98,1970,11.63,1902,18.90,1986,12.78,1902,12.63,1910,34
115,5.90,2011,11.63,1930,18.82,1881,12.77,1927,12.62,1905,33
116,5.89,1897,11.63,1922,18.81,1980,12.76,1965,12.57,1965,32
117,5.83,1902,11.62,1916,18.81,1946,12.76,1931,12.57,1880,31
118,5.80,1904,11.62,1899,18.80,1916,12.73,1932,12.55,1903,30
119,5.79,1907,11.62,1924,18.73,1988,12.72,1904,12.54,1924,29
120,5.75,1977,11.60,1897,18.71,1891,12.71,1926,12.53,1904,28
121,5.63,1936,11.52,1931,18.71,1948,12.67,1992,12.50,1895,27
122,5.63,1985,11.45,1904,18.68,1987,12.66,1888,12.50,1923,26
123,5.62,1969,11.44,1983,18.56,1962,12.62,1882,12.50,1889,25
124,5.60,1900,11.43,1898,18.53,1965,12.62,1944,12.47,1987,24
125,5.56,1887,11.37,1917,18.52,1977,12.60,1889,12.47,1956,23
126,5.52,1986,11.37,1955,18.51,1910,12.50,1894,12.46,1927,22
127,5.42,1982,11.31,1923,18.50,1882,12.47,1950,12.43,1907,21
128,5.40,1893,11.29,1996,18.50,1892,12.45,1880,12.39,1890,20
129,5.35,1996,11.29,1900,18.47,1985,12.34,1878,12.37,1931,19
130,5.32,1951,11.27,1883,18.45,1927,12.21,1922,12.37,1985,18
131,5.13,2010,11.26,1908,18.42,1902,12.20,1909,12.35,1986,17
132,5.06,1888,11.23,1958,18.34,1931,12.15,1915,12.30,1885,16
133,5.04,1941,11.21,1975,18.34,1978,12.15,1918,12.27,1979,15
134,5.02,1880,11.15,1885,18.32,1924,12.11,1912,12.25,1902,14
135,4.94,1886,11.11,1969,18.29,1972,12.04,1910,12.24,1909,13
136,4.93,1942,11.10,1886,18.29,1894,11.87,1892,12.24,1887,12
137,4.71,1881,10.99,1932,18.16,1903,11.83,1923,12.22,1919,11
138,4.41,1891,10.98,1986,18.05,1890,11.80,1925,12.21,1922,10
139,4.26,1979,10.91,1979,17.95,1956,11.78,1885,12.19,1886,9
140,4.16,1929,10.83,1941,17.90,1909,11.74,1974,12.18,1962,8
141,4.11,1940,10.83,2013,17.86,1912,11.68,1993,12.17,1891,7
142,3.93,1895,10.72,1962,17.85,1920,11.44,1879,12.15,1881,6
143,3.86,1917,10.68,1951,17.68,1922,11.44,1919,12.14,1917,5
144,3.71,1947,10.34,1888,17.61,1954,11.41,1905,12.07,1963,4
145,3.17,1879,10.31,1887,17.52,1888,11.10,1952,11.88,1892,3
146,2.48,1963,10.31,1891,17.40,1907,11.10,1896,11.59,1888,2
147,NA,1878,10.13,1879,16.99,1879,11.05,1887,10.54,1879,1
end data
